Date,Index Name,Open,High,Low,Close,Points Change,Change(%),Volume(Cr.),Turnover (Rs.Cr.),P/E,P/B,Div Yield
1/1/2026,BSE MidCap Select Index,17580.82,17658.97,17512.19,17634.83,80.40,0.4580040479800,1.31,270.06,37.04,5.47,0.58
1/1/2026,BSE SmallCap Select Index,8098.91,8098.91,8023.92,8062.65,-18.99,-0.2349770591100,1.20,548.69,30.21,3.81,0.71
1/1/2026,BSE Telecommunication,3139.30,3192.08,3133.55,3175.53,52.80,1.6908282176100,22.16,360.84,-92.10,-10.63,0.43
1/1/2026,BSE Utilities,5142.35,5223.50,5139.08,5216.04,77.66,1.5113712882200,2.15,240.40,22.60,3.00,1.69
1/1/2026,BSE SENSEX 50,27304.27,27353.11,27263.47,27297.05,12.58,0.0461068146000,2.33,1713.33,23.28,4.37,1.16
1/1/2026,BSE SENSEX Next 50,87020.67,87254.40,86732.30,87206.26,353.81,0.4073690494600,2.53,577.77,22.90,4.05,1.31
1/1/2026,BSE Bharat 22 Index,9124.16,9128.09,9023.95,9052.51,-64.15,-0.7036568216800,1.99,836.64,13.69,2.75,2.71
1/1/2026,BSE 100 ESG Index,436.87,437.56,436.07,436.96,0.51,0.1168518730600,4.82,2270.53,23.33,4.29,1.22
1/1/2026,BSE 150 MidCap Index,16459.24,16497.89,16381.11,16489.59,60.40,0.3676383315300,24.45,1269.45,35.56,5.40,0.76
1/1/2026,BSE 250 SmallCap Index,6676.28,6685.34,6637.78,6662.99,-4.49,-0.0673417843000,4.20,841.30,32.08,3.94,0.70
1/1/2026,BSE 250 LargeMidCap Index,11202.92,11217.82,11176.44,11208.78,18.48,0.1651430256500,28.48,3471.25,24.70,4.52,1.11
